time,load_average_1min,load_average_5min,load_average_15min,total_tasks,running_tasks,sleeping_tasks,cpu_user,cpu_system,cpu_nice,cpu_idle,cpu_wait,cpu_si,memory_total,memory_free,memory_used,memory_buff,vm_total,vm_free,vm_used,memory_available,captured_packets,multilabel
5920,2.56,2.7,2.97,21,1,20,100,0,0,0,0,0,7957.8,637.3,2756.5,4564,947.2,947.2,0,4891.6,0,normal
34668,3.68,3.37,3.19,21,2,19,100,0,0,0,0,0,7957.8,117.9,3175.9,4663.9,947.2,947,0.3,4466,0,normal
30700,4.05,3.78,3.5,21,2,19,0,0,0,100,0,0,7957.8,130.4,3000.1,4827.3,947.2,947.2,0,4641.8,0,normal
84210,2.37,2.65,2.89,21,2,19,100,0,0,0,0,0,7957.8,846.9,2650.1,4460.7,947.2,947.2,0,4998,0,normal
59108,3.72,3.19,4.84,21,2,19,0,0,0,100,0,0,7957.8,1483.9,2517.2,3956.7,947.2,947.2,0,5123,0,normal
67452,3.77,3.32,3.91,21,2,19,0,0,0,100,0,0,7957.8,541.2,3355.6,4060.9,947.2,947.2,0,4284.6,0,normal
63269,2.83,4.59,64.78,21,1,20,50,50,0,0,0,0,7957.8,727,3197,4033.8,947.2,947.2,0,4442.9,0,normal
39768,3.27,6.31,9.02,21,2,19,100,0,0,0,0,0,7957.8,201.9,4115.8,3640,947.2,946.5,0.8,3526,0,normal
74725,4.44,3.67,3.25,21,1,20,80,6.7,0,0,0,13.3,7957.8,254.4,3006.4,4696.9,947.2,947.2,0,4623,0,normal
37366,7.08,9.04,6.61,21,1,20,100,0,0,0,0,0,7957.8,800,3868.5,3289.3,947.2,946.5,0.8,3773.4,10,normal
30031,3.44,5.51,3.44,21,1,20,100,0,0,0,0,0,7957.8,905.1,2370.9,4681.7,947.2,947.2,0,5271,0,normal
36379,3.77,6.19,5.85,21,1,20,100,0,0,0,0,0,7957.8,341.5,3412.9,4203.3,947.2,946.7,0.5,4228.9,110,normal
73090,2.63,2.82,3.86,21,1,20,91.7,8.3,0,0,0,0,7957.8,510.6,2930,4517.2,947.2,947.2,0,4699.4,0,normal
170,1.63,2.24,2.6,21,1,20,100,0,0,0,0,0,7957.8,838.4,2654.7,4464.7,947.2,947.2,0,4993.4,0,normal
82928,2.41,2.84,2.85,21,1,20,100,0,0,0,0,0,7957.8,903.6,2596.2,4458,947.2,947.2,0,5051.9,0,normal
57340,4.83,10.64,9.34,21,1,20,100,0,0,0,0,0,7957.8,1352,2704.5,3901.2,947.2,947.2,0,4950.9,0,normal
80862,2.65,2.69,2.69,21,1,20,100,0,0,0,0,0,7957.8,910.5,2593.6,4453.6,947.2,947.2,0,5054.4,0,normal
39045,82.58,28.02,14.13,21,1,20,100,0,0,0,0,0,7957.8,313.7,4039.5,3604.6,947.2,946.5,0.8,3602.4,0,normal
4450,3.35,3.43,3.37,21,8,13,0,100,0,0,0,0,7957.8,648.8,2749.7,4559.3,947.2,947.2,0,4898.5,0,normal
64807,2.67,2.89,14.73,21,2,19,100,0,0,0,0,0,7957.8,580.3,3341.3,4036.1,947.2,947.2,0,4298.9,0,normal
35004,3.36,3.2,3.15,21,1,20,100,0,0,0,0,0,7957.8,117.4,3190.5,4649.9,947.2,947,0.3,4451.4,0,normal
85707,2.4,2.96,3,21,1,20,88.9,0,0,0,0,11.1,7957.8,841.9,2652.5,4463.4,947.2,947.2,0,4995.7,0,normal
9185,2.77,2.77,2.89,21,1,20,100,0,0,0,0,0,7957.8,335.4,2830.9,4791.4,947.2,947.2,0,4817.2,0,normal
54135,4.16,30.5,38.61,21,3,18,100,0,0,0,0,0,7957.8,1112.4,2909.8,3935.6,947.2,946.7,0.5,4736.5,0,normal
41384,4.79,6.62,7.07,21,1,20,100,0,0,0,0,0,7957.8,124.2,4223.3,3610.3,947.2,946.5,0.8,3418.6,0,normal
36074,2.55,7.86,6.02,21,2,19,85.7,14.3,0,0,0,0,7957.8,449.4,3398.2,4110.2,947.2,946.7,0.5,4243.7,0,normal
6608,3.72,3.3,3.13,21,2,19,100,0,0,0,0,0,7957.8,668.1,2753.8,4535.8,947.2,947.2,0,4894.4,0,normal
81545,2.03,2.26,2.53,21,1,20,100,0,0,0,0,0,7957.8,908.6,2594.2,4455,947.2,947.2,0,5053.9,0,normal
78353,2.04,2.72,2.6,21,1,20,14.3,0,0,85.7,0,0,7957.8,1076.3,2447.9,4433.5,947.2,947.2,0,5199.9,0,normal
66855,3.61,3.36,4.58,21,1,20,85.7,7.1,0,0,0,7.1,7957.8,536.9,3360.8,4060.1,947.2,947.2,0,4279.4,0,normal
78525,2.28,2.52,2.54,21,3,18,100,0,0,0,0,0,7957.8,1076.4,2447.6,4433.7,947.2,947.2,0,5200.3,0,normal
37645,2.77,5.39,5.68,21,3,18,66.7,33.3,0,0,0,0,7957.8,769.3,3882,3306.5,947.2,946.5,0.8,3759.9,60,normal
